Name,Street,Suburb,City,Phone,Notes
Akarana Timbers Christchurch,18 Hynds Dr,Rolleston,Christchurch,033478845,
Akarana Timbers East Tamaki,28 Trugood Dr,East Tamaki,Auckland,092539010,
Akarana Timbers Hamilton,1420 Arthur Porter Dr,Te Rapa,Hamilton,078491140,
Akarana Timbers Kumeu,20-26 Access Rd,Kumeu,Auckland,094122330,
Akarana Timbers Ruakaka,66 Waiwarawara Dr,,Ruakaka,099299608,
Buildlink Cambridge,186 Hannon Rd,Pukemoremore,Cambridge,078235465,
Buildlink Selwyn,15 Station St,Leeston,Christchurch,033243385,
BuildLink Timaru,133a King St,,Timaru,036884944,
Bunnings Avondale Trade,494 Rosebank Rd,Avondale,Auckland,098280600,
Bunnings Blenheim,10 Westwood Ave,,Blenheim,035209050,
Bunnings Botany,320 Ti Rakau Dr,Pakuranga,Auckland,092731650,
Bunnings Christchurch Airport,655 Russley Rd,Harewood,Christchurch,037400700,
Bunnings Constellation Dr,15 Home Pl,Mairangi Bay,Auckland,099782400,
Bunnings Dunedin,Cnr Strathallan & Otaki St,,Dunedin,034701333,
Bunnings East Tamaki Trade,94 Cryers Rd,East Tamaki,Auckland,092797820,
Bunnings Feilding,15 Eyre St,,Feilding,063241000,
Bunnings Gisborne,Cnr Peel Lowe & Kahutia St,,Gisborne,068690741,
Bunnings Gisborne Trade,Carnarvon St,,Gisborne,068679599,
Bunnings Glenfield,80 Wairau Rd,Glenfield,Auckland,094438891,
Bunnings Grey Lynn,272 - 302 Great North Rd,Grey Lynn,Auckland,093618500,
Bunnings Hamilton,446 Te Rapa Rd,,Hamilton,079588300,
Bunnings Hastings Central,301 Market St North,,Hastings,068725000,
Bunnings Hawera,175-179 Glover Rd,,Hawera,062780130,
Bunnings Head Office NZ,660 Great South Rd,Ellerslie,Auckland,099782200,
Bunnings Invercargill Trade,10B Victoria Ave,Avenal,Invercargill,039483300,
Bunnings Lyall Bay,24-54 Kingsford Smith St,Rongotai,Wellington,043873550,
Bunnings Mangawhai,83 Molesworth Dr,,Mangawhai,099528300,
Bunnings Manukau,Lambie Dr,Manukau,Auckland,092604400,
Bunnings Mount Maunganui,5 Jean Batten Dr,,Mt Maunganui,079278500,
Bunnings Mt Roskill,2 Carr Rd,Mt Roskill,Auckland,096240177,
Bunnings Mt Wellington,459 Ellerslie Panmure Hwy,Mt Wellington,Auckland,095700005,
Bunnings Naenae Trade Centre,235 Cambridge Terrace,Naenae,Wellington,045773910,
Bunnings Nelson,76 Saxton Rd,,Nelson,035471640,
Bunnings New Lynn,2-12 Titirangi Rd,New Lynn,Auckland,098262400,
Bunnings New Plymouth,59 Molesworth St,,New Plymouth,067697300,
Bunnings New Plymouth Trade,Corbett Rd,,New Plymouth,067550304,
Bunnings Palmerston North,Tremaine Ave,,Palmerston North,063557100,
Bunnings Petone,48 Hutt Rd,Petone,Wellington,045769700,
Bunnings Porirua,9 Heriot Dr,Porirua,Wellington,049781300,
Bunnings Pukekohe Trade,5 Crosbie Rd,Pukekohe,Auckland,099565100,
Bunnings Queenstown,150 Frankton-Ladies Mile Hwy,,Queenstown,037467400,
Bunnings Riccarton,Cnr Blenheim Rd & Foster St,Riccarton,Christchurch,039400700,
Bunnings Rotorua,26-48 Old Taupo Rd,,Rotorua,073502700,
Bunnings Shirley,197 Marshlands Rd,Shirley,Christchurch,033757004,
Bunnings Silverdale,18 Hibiscus Coast Hwy,Silverdale,Auckland,094261529,
Bunnings Silverdale Trade,Foundry Rd,Silverdale,Auckland,094265029,
Bunnings South Hamilton,13 A Quentin Dr,Hamilton Lake,Hamilton,078489500,
Bunnings Takanini,167 Great South Rd,Takanini,Auckland,093471300,
Bunnings Taupo,90 Spa Rd,,Taupo,073761116,
Bunnings Tauriko Trade Centre,166 Taurikura Dr,Tauriko,Tauranga,079872600,
Bunnings Timaru,233 Evans St,Kensington,Timaru,037464300,
Bunnings Tokoroa,Ashworth St,,Tokoroa,078864569,
Bunnings Waipapa,391 Waipapa Rd,,Waipapa,099555200,
Bunnings Westgate,21 Fred Taylor Dr,Westgate,Auckland,099518400,
Bunnings Whakatane,The Hub Cnr SH30 & Phoenix Dr,,Whakatane,073060430,
Bunnings Whangamata,213 Aickin Rd,,Whangamata,078658744,
Bunnings Whanganui,131 Ridgway St,,Whanganui,063450985,
Bunnings Whangarei,Cnr Tauroa St & State Hwy 1,,Whangarei,094705400,
Carters Albany,10 Tawa Dr,Albany,Auckland,094157171,
Carters Blenheim,32 Burleigh Industrial Estate,,Blenheim,035775344,
Carters Cambridge,41-45 Albert St,,Cambridge,078276460,
Carters Dargaville,2 Normanby St,,Dargaville,094393099,
Carters Drury,25 Ararimu Rd,Ramarama,Auckland,092948497,
Carters Dunedin,9 Orari St,,Dunedin,034556139,
Carters East Tamaki,95 Harris Rd,East Tamaki,Auckland,092745755,
Carters Gisborne,342 Gladstone Rd,,Gisborne,068688099,
Carters Glenfield,66 Diana Dr,Glenfield,Auckland,094412333,
Carters Hamilton,1052 Te Rapa Straight,,Hamilton,078496042,
Carters Hastings,404 Holt Pl,,Hastings,068786109,
Carters Henderson,141 Central Park Dr,Henderson,Auckland,098378796,
Carters Hornby,4-6 Hickory Pl,Hornby,Christchurch,033493971,
Carters Invercargill,7-29 Forth St,,Invercargill,032144459,
Carters Kaitaia,4 Dunn St,,Kaitaia,094086170,
Carters Kapiti,14 Ihakara St,,Paraparaumu,042988129,
Carters Kerikeri,4 Kahikatearoa St & SH10,,Waipapa,094076609,
Carters Madras St,379 Madras St,Christchurch Central,Christchurch,033790520,
Carters Mangawhai,41 Moir St,,Mangawhai,094231180,
Carters Masterton,328 Ngaumutawa Rd,,Masterton,063709750,
Carters Maungaturoto,186 Hurndall St,,Maungaturoto,094318575,
Carters Napier,16 Austin St,,Napier,068435877,
Carters National Office,68 Harris Rd,East Tamaki,Auckland,092727200,
Carters Nelson,70 Nayland Rd,,Nelson,035477700,
Carters New Plymouth,24 Egmont Rd,,New Plymouth,067595460,
Carters Onehunga,101 Neilson St,Onehunga,Auckland,096340579,
Carters Palmerston North,69 Railway Rd,,Palmerston North,063510810,
Carters Panmure,130 Jellicoe Rd,Panmure,Auckland,095700650,
Carters Papakura,12 Walters Rd,Papakura,Auckland,092999081,
Carters Petone,22-30 Annie Huggan Gr,Lower Hutt,Wellington,045760600,
Carters Porirua,75 Kenepuru Dr,Porirua,Wellington,042379069,
Carters Pukekohe,60 Manukau Rd,Pukekohe,Auckland,092386836,
Carters Queenstown,211 Glenda Dr,,Queenstown,034427620,
Carters Rangiora,642 Lineside Rd,,Rangiora,033137104,
Carters Rotorua,173 Sala St,,Rotorua,073473201,
Carters St Lukes,14 Taylors Rd,Morningside,Auckland,098155726,
Carters Taupo,205 Spa Rd,,Taupo,073782776,
Carters Tauranga,Birch Ave,,Tauranga,075789099,
Carters Thames,21 Ngati Maru Hwy,,Thames,078687047,
Carters Waipukurau,5 Herbert St,,Waipukurau,068589050,
Carters Wairoa,McDonald St,,Wairoa,068387339,
Carters Warkworth,43 Auckland Rd SH1,Warkworth,Auckland,094257879,
Carters Wellington Central,176 Hutt Rd,Kaiwharawhara,Wellington,044721521,
Carters Wellington South,13 Jean Batten St,Rongotai,Wellington,043893030,
Carters Westport,11 Robertson St,,Westport,037888206,
Carters Whangamata,103 Lindsay Rd,,Whangamata,078658590,
Carters Whanganui,95 Wilson St,,Whanganui,063481750,
Carters Whangaparaoa,35 Karepiro Dr,Whangaparaoa,Auckland,094246300,
Carters Whangarei,32 Commerce St,,Whangarei,094383659,
Carters Whitianga,12 Moewai Rd,,Whitianga,078662489,
Cooks Beach Timber and Hardware,43 Captain Cook Rd,,Cooks Beach,078664049,
Devonport Timber and Hardware,27 Lake Rd,Devonport,Auckland,094450095,
East Taratahi Building Supplies,22 William Wong Pl,,Carterton,063796811,
Eastland Building & Farm Supplies,19-21 Mahia Ave,,Wairoa,0275216163,
Eastown Timber & Fencing Buildlink,4 Holyoak St,,Whanganui,063490040,
Henderson Timber,66 The Concourse,Henderson,Auckland,098388075,
ITM  Support Office,38 Tarndale Gr,Rosedale,Auckland,0800480114,
ITM Acorn,102 Riverlea Rd,,Hamilton,078566789,
ITM Albany,66 Bush Rd,Albany,Auckland,094156889,
ITM Ashburton,5 Range St,,Ashburton,033070412,
ITM Barrier,9 Omanawa Ln,,Great Barrier Island,094290466,
ITM Bashers,82 Carters Rd,,Amberley,033148311,
ITM Bay of Islands  Haruru Falls,2 Haruru Falls Rd,,Paihia,094027703,
ITM Bay of Islands  Kerikeri,411 Waipapa Rd,,Waipapa,094078002,
ITM Blenheim,41 Houldsworth St,,Blenheim,035783049,
ITM Cambridge,1 Carters Cres,,Cambridge,078270953,
ITM Central  Carterton,37-53 High St South,Carterton,Wairarapa,069297598,
ITM Central  Feilding,1537 Waughs Rd,,Feilding,063233400,
ITM Central  Marton,40 Racecourse Ave,,Marton,063275458,
ITM Coromandel,1170 Tiki Rd,,Coromandel,078668848,
ITM Crighton  Greytown,201 Main St,,Greytown,063047193,
ITM Crighton  Levin,15 Hokio Beach Rd,,Levin,063684057,
ITM Crighton  Seaview,123 Hutt Park Rd,Lower Hutt,Wellington,045683896,
ITM Darfield,85 North Terrace,,Darfield,033187474,
ITM Dargaville,40 Normanby St,,Dargaville,094398730,
ITM Dayle  Avondale,713 Rosebank Rd,Avondale,Auckland,098289791,
ITM Dayle  East Tamaki,21 Greenmount Dr,East Tamaki,Auckland,092744942,
ITM Dayle  Kopu,71 Kopu Rd,,Thames,078689829,
ITM Dunedin,13 Wharf St,Dunedin Central,Dunedin,032621008,
ITM Dyers Rd,291 Dyers Rd,Bromley,Christchurch,033736049,
ITM Dysart  Glen Innes,88 Merton Rd,Glen Innes,Auckland,095213609,
ITM E H Ball,62 Clyde St,,Invercargill,032183787,
ITM Far North  Kaitaia,23 North Park Dr,,Kaitaia,094083927,
ITM Far North  Mangonui,22 Karamea Rd,,Mangonui,094060048,
ITM Fraser Hardware,4 James St,,Balclutha,034180170,
ITM Geraldine,168 Talbot St,,Geraldine,036939397,
ITM Gore,5 Wigan St,,Gore,032080649,
ITM Greymouth,62 Tasman St,,Greymouth,037680441,
ITM Hamptons,151 Ferry Rd,Waltham,Christchurch,033743333,
ITM Havelock,6 Ngati Kuia Dr,,Havelock,035741018,
ITM Hillside  Glenfield,131 Diana Dr,Wairau Valley,Auckland,094438101,
ITM Hillside  Hornby,254 Springs Rd,Hornby,Christchurch,033499739,
ITM Hometown  Foxton,1 Bergin Rd,,Foxton,063638049,
ITM Kaiapoi,197 Ohoka Rd,,Kaiapoi,033278829,
ITM Kaikoura,218 Beach Rd,,Kaikoura,033195447,
ITM KKBS,12 Earl Dr,,Katikati,075490689,
ITM MacClures  Henderson,256 Swanson Rd,Henderson,Auckland,098360088,
ITM Mahia,13 Marphona Cres,Takanini,Auckland,092670234,
ITM Manawatu,51 Joseph St,,Palmerston North,063569490,
ITM Mangawhai,188 Molesworth Dr,,Mangawhai,094314963,
ITM Matakana,58 Matakana Valley Rd,Warkworth,Auckland,094227525,
ITM Matamata Post & Rails,Mangawhero Rd,,Matamata,078888189,
ITM McMullan,18 Kaniere Rd,,Hokitika,037558519,
ITM McVicar,550 Johns Rd,Harewood,Christchurch,034213536,
ITM Mosgiel,1 McGlashan St,,Mosgiel,034898885,
ITM Motueka,16 King Edward St,,Motueka,035287254,
ITM Mount,24 Owens Pl,,Mt Maunganui,075753126,
ITM Nelson,36 Pascoe St,,Nelson,035485487,
ITM New Plymouth,20 Dawson St,,New Plymouth,067588939,
ITM Omokoroa,469A Omokoroa Rd,,Omokoroa,075525770,
ITM Opotiki,21 Church St,,Opotiki,073155984,
ITM Otorohanga,2 Limestone Dr,,Otorohanga,078734841,
ITM Parapine,19 Park St,Upper Hutt,Wellington,045276800,
ITM Pauanui,27 Sheppard Ave,,Pauanui Beach,078648579,
ITM Picton,5 York St,,Picton,035736888,
ITM ProBuild,2 Stoneleigh Dr,Rolleston,Christchurch,033243300,
ITM Rangiora,5A Cone St,,Rangiora,033134862,
ITM Rotorua,22-30 Clayton Rd,,Rotorua,073479423,
ITM Southbuild,Winton Hedgehope Hwy,,Winton,032366055,
ITM Southern Lakes  Alexandra,46 Centennial Ave,,Alexandra,034278887,
ITM Southern Lakes  Cromwell,64 McNulty Rd,,Cromwell,034450081,
ITM Southern Lakes  Queenstown,83 Glenda Dr,,Queenstown,034511567,
ITM Southern Lakes  Wanaka,34 Gordon Rd,,Wanaka,034432545,
ITM Stratford,75 Warwick Rd,,Stratford,067657800,
ITM Takaka,5 Buxton Ln,Tākaka,Takaka,035258222,
ITM Taupo,cnr Broadlands Rd & Miro Rd,,Taupo,073789899,
ITM Tauranga,32 Maleme St,,Tauranga,075411232,
ITM Te Puke,576 Jellicoe St,,Te Puke,0275061764,
ITM Thomsons  Hamilton,18 Crawford St,,Hamilton,078493674,
ITM Thomsons  Papakura,67-69 Hunua Rd,Papakura,Auckland,092949410,
ITM Thomsons  Whatawhata,117 Mason Rd,,Hamilton,078298518,
ITM Timaru,33 Seadown Rd,,Timaru,036888074,
ITM Timmos,31 Riverhurst Dr,,Te Awamutu,078717545,
ITM Toa,17-19 Prosser St,Elsdon,Wellington,042325999,
ITM Triangle,4 Campbell St,,Tokoroa,078866611,
ITM Tuakau,25 Liverpool St,Tuakau,Auckland,092368226,
ITM Turangi,65 Atirau Rd,,Turangi,073865736,
ITM Waimate,4 Victoria Terrace,,Waimate,036897427,
ITM Waipu,40 Cove Rd,,Waipu,094320203,
ITM Waitara,2 Harris St,,Waitara,067548822,
ITM Waiuku,20 Constable Rd,Waiuku,Auckland,092357289,
ITM Warkworth,16 State Hwy 1,Warkworth,Auckland,094251021,
ITM Weck's  Patumahoe,10 Patumahoe Rd,Patumahoe,Auckland,092363684,
ITM Weck's Pukekohe,1 Kitchener Rd,Pukekohe,Auckland,092383678,
ITM Western  Kumeu,154 Main Rd,Kumeu,Auckland,094128148,
ITM Western  Swanson,2 O'Neills Rd,Swanson,Auckland,098320209,
ITM Western  Whenuapai,2 Airport Rd,Whenuapai,Auckland,094168164,
ITM Whakatane Timber & Hardware,35 Gateway Dr,,Whakatane,073070031,
ITM Whangarei,4 Kioreroa Rd,,Whangarei,094379420,
Kiwi Timber Supplies Ltd,6216 SH1 Horotiu,,Hamilton,078473443,
Lumberland,138 Napier Rd,,Palmerston North,063542244,
Mackenzie Country Building Supplies,Benmore Pl,,Twizel,034350151,
Matamata Timber & Hardware,Rewa St,,Matamata,078888145,
Mitre 10 Central Otago,28 Centennial Ave,,Alexandra,034486884,
Mitre 10 Crofton Downs,128 Churchill Dr,Crofton Downs,Wellington,044798765,
Mitre 10 Cromwell,20 Elspeth St,,Cromwell,034459955,
Mitre 10 Dannevirke,155-163 High St,,Dannevirke,063746045,
Mitre 10 Darragh's,44 Kimbolton Rd,,Feilding,063234054,
Mitre 10 Gisborne,24 Derby St,,Gisborne,068670004,
Mitre 10 Gore,15 Irwell St,,Gore,032084780,
Mitre 10 Griffen & Smith,34 Gibson St,,Hokitika,037558254,
Mitre 10 Grove,1 Princes St,Onehunga,Auckland,096367169,
Mitre 10 Helensville,41 Mill Rd,Helensville,Auckland,094208153,
Mitre 10 Jacks,119 Gordon Rd,,Mosgiel,034890000,
Mitre 10 Jones & Sandford,305-307 St Aubyn St,,New Plymouth,067580520,
Mitre 10 K J,67 Main St,,Pahiatua,063767978,
Mitre 10 Kerikeri,37 Klinac Ln,Waipapa,Waipapa,094075540,
Mitre 10 Kiwitown,7 Ballance St,,Otorohanga,078737465,
Mitre 10 Levin,521 Queen St,,Levin,063682268,
Mitre 10 Martin,47-55 Palmerston St,,Westport,037897879,
Mitre 10 Masters,Cnr Fenton & Juliet Sts,,Stratford,067656048,
Mitre 10 Matamata,7 Waharoa Rd East,,Matamata,078886362,
Mitre 10 McCarthny,1 North Park Dr,,Kaitaia,094081660,
Mitre 10 McIlwaine,35 Russell St,,Marton,063277079,
Mitre 10 Mega Albany,260 Oteha Valley Rd,Albany,Auckland,094426130,
Mitre 10 Mega Ashburton,81 West St,,Ashburton,033085119,
Mitre 10 Mega Botany,9 Bishop Dunn Pl Botany,Botany,Auckland,092728777,
Mitre 10 Mega Cambridge,1 Oliver St,,Cambridge,078230553,
Mitre 10 Mega Dunedin,20 Timaru St,,Dunedin,034553344,
Mitre 10 Mega Ferrymead,1005 Ferry Rd,Ferrymead,Christchurch,033666306,
Mitre 10 Mega Glenfield,15 Poland Rd,Wairau Park,Auckland,094405100,
Mitre 10 Mega Greymouth,41 Waterwalk Rd,,Greymouth,037699036,
Mitre 10 Mega Hastings,614 Karamu Rd,,Hastings,068738700,
Mitre 10 Mega Henderson,186 Lincoln Rd,Henderson,Auckland,094162400,
Mitre 10 Mega Hornby,16 Chappie Pl,Hornby,Christchurch,033498497,
Mitre 10 Mega Invercargill,Cnr Tay St & Elles Rd,,Invercargill,032199000,
Mitre 10 Mega Kapiti,135 Kapiti Rd,,Paraparaumu,042966440,
Mitre 10 Mega Manukau,61 Lambie Dr,Manukau,Auckland,092623860,
Mitre 10 Mega Marlborough,174 - 186 Alabama Rd,,Blenheim,035206600,
Mitre 10 Mega Masterton,157 - 169 Ngaumutawa Rd,,Masterton,063706888,
Mitre 10 Mega Mt Wellington,72 Lunn Ave,Mt Wellington,Auckland,095740099,
Mitre 10 Mega Napier,180 Prebensen Dr,,Napier,068338190,
Mitre 10 Mega Nelson,99 Quarantine Rd,,Nelson,035470747,
Mitre 10 Mega New Lynn,5 Astley Ave,New Lynn,Auckland,098261420,
Mitre 10 Mega New Plymouth,5 Vickers Rd,,New Plymouth,067594399,
Mitre 10 Mega Oamaru,3 - 11 Dee St,,Oamaru,034349860,
Mitre 10 Mega Palmerston North,250 - 270 Featherston St,,Palmerston North,063544087,
Mitre 10 Mega Papanui,54 Harewood Rd,Papanui,Christchurch,033595443,
Mitre 10 Mega Petone,25 Bouverie St,Petone,Wellington,045698311,
Mitre 10 Mega Porirua,The Mega Centre 3 Semple St,Porirua,Wellington,042389507,
Mitre 10 Mega Pukekohe,12 Wrightson Way,Pukekohe,Auckland,092385559,
Mitre 10 Mega Queenstown,46 Brookes Rd,,Queenstown,034509262,
Mitre 10 Mega Rangiora,1 Southbrook Rd,,Rangiora,033138999,
Mitre 10 Mega Rotorua,1542 Amohau St,,Rotorua,073436060,
Mitre 10 Mega Ruakura,41 Ruakura Rd,,Hamilton,078508700,
Mitre 10 Mega Silverdale,35 Colin Chester Dr,Silverdale,Auckland,094260760,
Mitre 10 Mega Takanini,230 Great South Rd,Takanini,Auckland,092996342,
Mitre 10 Mega Taupo,99 Bella George Ln,,Taupo,073786540,
Mitre 10 Mega Tauranga,1066 Cameron Rd,,Tauranga,075714700,
Mitre 10 Mega Te Awamutu,670 Cambridge Rd,,Te Awamutu,078726210,
Mitre 10 Mega Te Rapa,1 Maahaunga Dr,,Hamilton,078508700,
Mitre 10 Mega Timaru,23 Bank St,,Timaru,036872033,
Mitre 10 Mega Upper Hutt,9 Park St,Upper Hutt,Wellington,045272227,
Mitre 10 Mega Wanaka,10 Sir Tim Wallis Dr,,Wanaka,034439581,
Mitre 10 Mega Warkworth,Cnr Woodcocks Rd & Mansell Dr,Warkworth,Auckland,094258119,
Mitre 10 Mega Westgate,Northside Dr,Westgate,Auckland,094162400,
Mitre 10 Mega Whanganui,200 Taupo Quay,,Whanganui,063490244,
Mitre 10 Mega Whangarei,46 Porowini Ave,,Whangarei,094304009,
Mitre 10 Morrinsville,43 Moorhouse St,,Morrinsville,078891111,
Mitre 10 Motueka,235 High St,,Motueka,035289220,
Mitre 10 Ngatea Hammer Hardware,16 Orchard Rd,,Ngatea,078677393,
Mitre 10 Opotiki,83 St John St,,Opotiki,073156366,
Mitre 10 Pain & Kershaw,37 - 39 Naples St,,Martinborough,063065103,
Mitre 10 Papamoa,14 Gravatt Rd,Papamoa,Tauranga,075753847,
Mitre 10 Smiths Beckenham,260 Colombo St,Sydenham,Christchurch,033327557,
Mitre 10 Support Centre,67 Corinthian Dr,Albany,Auckland,094439932,
Mitre 10 Taumarunui,18 Taitua St,,Taumaranui,078958107,
Mitre 10 Te Anau,1 Milford Cres,,Te Anau,032497661,
Mitre 10 Thames,458 Pollen St,,Thames,078687155,
Mitre 10 Waihi,1 Seddon St,,Waihi,078638087,
Mitre 10 Waipukurau,3-7 Takapau Rd,,Waipukurau,068588460,
Mitre 10 Waiuku,25 Bowen St,Waiuku,Auckland,092359072,
Mitre 10 Whakatane,13 - 15 McAlister St,,Whakatane,073088115,
Mitre 10 Whangaparaoa,25 Wade River Rd,Stanmore Bay,Auckland,094282477,
Mitre 10 Winton,91 Great North Rd,,Winton,032367614,
Penrose Panel & Roofing Ltd,956A Great South Rd,Penrose,Auckland,0800777699,
Peppers Building Supplies,69 Main St,,Edgecumbe,073046312,
PlaceMakers Albany,24 Oteha Valley Rd,Albany,Auckland,094140900,
PlaceMakers Alexandra,5 Maclean Rd,,Alexandra,034402335,
PlaceMakers Ashburton,115 Alford Forest Rd,,Ashburton,033089099,
PlaceMakers Blenheim,Cnr Gr Rd & Farmar St,,Blenheim,035206030,
PlaceMakers Cook St,106 Cook St West,CBD,Auckland,093562899,
PlaceMakers Cook St Penrose Depot,509 Mt Wellington Hwy,Mt Wellington,Auckland,092370020,
PlaceMakers Cranford St,319 Cranford St,,Christchurch,033754119,
PlaceMakers Cromwell,7 Murray Tce,,Cromwell,034450401,
PlaceMakers Dunedin,86 Portsmouth Rd,,Dunedin,034664617,
PlaceMakers Evans Bay,38 Tacy St,Kilbirnie,Wellington,043878692,
PlaceMakers Gore,Fairfield St,,Gore,032089040,
PlaceMakers Hamilton City Clarence St,84 - 88 Clarence St,,Hamilton,078466700,
PlaceMakers Hastings,409 Hastings St North,,Hastings,068422925,
PlaceMakers Hawera,2 Fitzgerald Ln,,Hawera,062786013,
PlaceMakers Hawkes Bay Napier,53 Corunna Bay,,Napier,068435816,
PlaceMakers Huntly,498 Great South Rd,,Huntly,078282000,
PlaceMakers Hutt City,43 Seaview Rd,Lower Hutt,Wellington,045685042,
PlaceMakers Invercargill,85 Liddel St,,Invercargill,032110366,
PlaceMakers Kaiapoi,17 Hakarau Rd,,Kaiapoi,033275860,
PlaceMakers Kaitaia,Matthews Ave,,Kaitaia,094080630,
PlaceMakers Kaiwharawhara,188 Hutt Rd,Kaiwharawhara,Wellington,044721616,
PlaceMakers Kerikeri,26 Mill Ln,,Kerikeri,094074820,
PlaceMakers Levin,17-23 Main Rd South,,Levin,063660960,
PlaceMakers Mangawhai,4 Moir Point Rd,,Mangawhai,094314236,
PlaceMakers Morrinsville,Canada St,,Morrinsville,078895057,
PlaceMakers Mosgiel Depot,34 Carncross St,,Mosgiel,034664617,
PlaceMakers Motueka,84 High St,,Motueka,035288164,
PlaceMakers Mt Maunganui,25 MacDonald St,,Mt Maunganui,075740822,
PlaceMakers Mt Wellington,102 Lunn Ave,Mt Wellington,Auckland,095708300,
PlaceMakers National Office,816 Great South Rd,Penrose,Auckland,095256177,
PlaceMakers Nelson - Saxton Rd,52 Saxton Rd,,Nelson,035479111,
PlaceMakers Nelson - St Vincent St,105 St Vincent St,,Nelson,035489069,
PlaceMakers New Lynn,17-19 Clark St,New Lynn,Auckland,095474200,
PlaceMakers New Plymouth,9 / 15 Egmont Rd,,New Plymouth,067559040,
PlaceMakers Oamaru,Humber St,,Oamaru,034330460,
PlaceMakers Ohakune (Depot),7 Burns St,,Ohakune,063858414,
PlaceMakers Pakuranga,481 Pakuranga Hwy,Pakuranga,Auckland,095380200,
PlaceMakers Palmerston North,Cnr Railway Rd and Francis Way,,Palmerston North,063535777,
PlaceMakers Paraparaumu,Kapiti Rd,,Paraparaumu,042981086,
PlaceMakers Porirua,Cnr Semple St & Titahi Bay Rd,Porirua,Wellington,042379189,
PlaceMakers Pukekohe,3 Comrie Pl,Pukekohe,Auckland,092370020,
PlaceMakers Queenstown,1 Glenda Dr Frankton,,Queenstown,034509000,
PlaceMakers Riccarton,2-20 Mandeville St,Riccarton,Christchurch,033482039,
PlaceMakers Rolleston,35 Hoskyns Rd,Rolleston,Christchurch,033438600,
PlaceMakers Rotorua,159 Lake Rd,,Rotorua,073477023,
PlaceMakers Silverdale,47 Tavern Rd,Silverdale,Auckland,094249000,
PlaceMakers Takanini,354 Porchester Rd,Takanini,Auckland,092370020,
PlaceMakers Taupo,66 Crown Rd,,Taupo,073760220,
PlaceMakers Te Anau (Depot),116 Sandy Brown Rd,,Te Anau,032497774,
PlaceMakers Te Kuiti,Te Kumi Rd,,Te Kuiti,078788149,
PlaceMakers Te Rapa,10 Te Kowhai Rd East,Te Rapa,Hamilton,078500190,
PlaceMakers Thames,79 Kopu Rd,,Thames,078680130,
PlaceMakers Timaru,88-94 Hilton Hwy,,Timaru,036874035,
PlaceMakers Twizel (Depot),1 Ostler Rd,,Twizel,034353133,
PlaceMakers Waiheke,102 Ostend Rd,Waiheke,Auckland,093720060,
PlaceMakers Wairarapa (Depot),72 Ngaumutawa Rd,,Masterton,063777504,
PlaceMakers Wairau Park,3 Link Dr,Glenfield,Auckland,094445155,
PlaceMakers Wanaka,8 Connell Terrace,,Wanaka,034430080,
PlaceMakers Warkworth,64 Morrison Dr,Warkworth,Auckland,094258444,
PlaceMakers Westgate,547- 557 Don Buck Rd,Massey,Auckland,098156800,
PlaceMakers Whakatane,133 Commerce St,,Whakatane,073060320,
PlaceMakers Whanganui,Cnr Wilson & Guyton St,,Whanganui,063491919,
PlaceMakers Whangarei,18 Kioreroa Rd,,Whangarei,094703970,
PlaceMakers Whitianga,24 Joan Gaskell Dr,,Whitianga,078672000,
PlaceMakers Winton,139 Florence Rd,,WINTON,03236-8262,
Pokeno Bulding Supplies,23 Carr St,Tuakau 2121,Auckland,92336658,
Residential Building Supplies Limited,35 Wookey Ln,Kumeu,Auckland,094122964,
Russell Hammer Hardware,York St,,Russell,094037889,
Sellwood Products,3/75 Apollo Dr,Rosedale,Auckland,094770820,
Sticks Building Supplies,8 John Glenn Ave,Rosedale,Auckland,094156570,
TimberWorld Birkdale,2 Bay Park Pl,Birkdale,Auckland,094818000,
TimberWorld East Tamaki,329 East Tamaki Rd,East Tamaki,Auckland,092748009,
Tumu Dannevirke,198 High St,,Dannevirke,063744260,
Tumu Gisborne,356 Childers Rd,,Gisborne,068689599,
Tumu Hastings,1215 Maraekakaho Rd,,Hastings,068730999,
Tumu Havelock North,34 Havelock Rd,,Havelock North,068729600,
Tumu Masterton,337 Ngaumutawa Rd,,Masterton,063706060,
Tumu Napier,55 Thames St,,Napier,068726222,
Value Building Supplies Inglewood,11 James St,,Inglewood,0800245535,
Value Building Supplies New Plymouth,1 Katere Rd,,New Plymouth,067597435,
Warehouse Building Supplies,32 Henderson Valley Rd,Henderson,Auckland,098388868,
Whitianga Hardware,67 Cook Dr,,Whitianga,078665767,
Wiri Timber Mt Roskill,50 Frost Rd,Mt Roskill,Auckland,096204069,
Woodmart Limited,571 Gt South Rd,Penrose,Auckland,095256293,
